"date","year","month","day","5722002"
1979-01-01,1979,1,1,6.9480971
1979-01-02,1979,1,2,7.4717266
1979-01-03,1979,1,3,8.9168251
1979-01-04,1979,1,4,9.4779706
1979-01-05,1979,1,5,9.9304623
1979-01-06,1979,1,6,10.178794
1979-01-07,1979,1,7,10.035657
1979-01-08,1979,1,8,9.6409182
1979-01-09,1979,1,9,9.0483171
1979-01-10,1979,1,10,8.9261109
1979-01-11,1979,1,11,8.4054172
1979-01-12,1979,1,12,7.6889714
1979-01-13,1979,1,13,6.7043743
1979-01-14,1979,1,14,7.848227
1979-01-15,1979,1,15,8.4293804
1979-01-16,1979,1,16,8.6063836
1979-01-17,1979,1,17,9.3943453
1979-01-18,1979,1,18,11.098888
1979-01-19,1979,1,19,10.49044
1979-01-20,1979,1,20,9.4805985
1979-01-21,1979,1,21,10.205917
1979-01-22,1979,1,22,9.3618796
1979-01-23,1979,1,23,8.56609
1979-01-24,1979,1,24,8.0143085
1979-01-25,1979,1,25,9.2824857
1979-01-26,1979,1,26,9.5117831
1979-01-27,1979,1,27,8.7727742
1979-01-28,1979,1,28,9.2996152
1979-01-29,1979,1,29,9.5922909
1979-01-30,1979,1,30,10.249663
1979-01-31,1979,1,31,8.7746477
1979-02-01,1979,2,1,8.2252615
1979-02-02,1979,2,2,9.1526806
1979-02-03,1979,2,3,8.6472564
1979-02-04,1979,2,4,6.782861
1979-02-05,1979,2,5,7.79763
1979-02-06,1979,2,6,6.9729888
1979-02-07,1979,2,7,7.6075373
1979-02-08,1979,2,8,7.1140594
1979-02-09,1979,2,9,4.9163377
1979-02-10,1979,2,10,6.2019311
1979-02-11,1979,2,11,7.3210328
1979-02-12,1979,2,12,6.9640527
1979-02-13,1979,2,13,6.7639458
1979-02-14,1979,2,14,6.6822858
1979-02-15,1979,2,15,5.5881088
1979-02-16,1979,2,16,6.3405715
1979-02-17,1979,2,17,7.3485489
1979-02-18,1979,2,18,7.6076652
1979-02-19,1979,2,19,7.1146854
1979-02-20,1979,2,20,7.8867027
1979-02-21,1979,2,21,10.685091
1979-02-22,1979,2,22,10.339835
1979-02-23,1979,2,23,9.7343791
1979-02-24,1979,2,24,8.6560176
1979-02-25,1979,2,25,7.0665904
1979-02-26,1979,2,26,7.4908544
1979-02-27,1979,2,27,6.6894106
1979-02-28,1979,2,28,7.4880126
1979-03-01,1979,3,1,9.3752573
1979-03-02,1979,3,2,7.7489566
1979-03-03,1979,3,3,6.9100905
1979-03-04,1979,3,4,7.1378255
1979-03-05,1979,3,5,6.8180914
1979-03-06,1979,3,6,6.6245604
1979-03-07,1979,3,7,5.9775127
1979-03-08,1979,3,8,5.3334749
1979-03-09,1979,3,9,5.6449307
1979-03-10,1979,3,10,6.5676614
1979-03-11,1979,3,11,6.5340055
1979-03-12,1979,3,12,5.9784112
1979-03-13,1979,3,13,5.0053916
1979-03-14,1979,3,14,6.9256377
1979-03-15,1979,3,15,7.4977973
1979-03-16,1979,3,16,7.6625955
1979-03-17,1979,3,17,8.1862261
1979-03-18,1979,3,18,8.1555283
1979-03-19,1979,3,19,8.6330006
1979-03-20,1979,3,20,8.7116546
1979-03-21,1979,3,21,7.8432365
1979-03-22,1979,3,22,5.9936572
1979-03-23,1979,3,23,6.8979836
1979-03-24,1979,3,24,7.322585
1979-03-25,1979,3,25,6.7283637
1979-03-26,1979,3,26,5.5123491
1979-03-27,1979,3,27,4.5982291
1979-03-28,1979,3,28,5.0302148
1979-03-29,1979,3,29,6.269279
1979-03-30,1979,3,30,7.2958587
1979-03-31,1979,3,31,7.0451661
1979-04-01,1979,4,1,5.4235503
1979-04-02,1979,4,2,5.2706349
1979-04-03,1979,4,3,2.0882035
1979-04-04,1979,4,4,-1.9436969
1979-04-05,1979,4,5,-2.4219673
1979-04-06,1979,4,6,1.8850252
1979-04-07,1979,4,7,4.38538
1979-04-08,1979,4,8,4.7471253
1979-04-09,1979,4,9,3.8139719
1979-04-10,1979,4,10,5.1249917
1979-04-11,1979,4,11,5.2986813
1979-04-12,1979,4,12,4.1269375
1979-04-13,1979,4,13,4.1217688
1979-04-14,1979,4,14,2.6789275
1979-04-15,1979,4,15,4.2191035
1979-04-16,1979,4,16,4.7320921
1979-04-17,1979,4,17,5.7080454
1979-04-18,1979,4,18,5.2536342
1979-04-19,1979,4,19,4.5898441
1979-04-20,1979,4,20,4.6257541
1979-04-21,1979,4,21,4.5477938
1979-04-22,1979,4,22,4.8044458
1979-04-23,1979,4,23,4.6598883
1979-04-24,1979,4,24,5.1558983
1979-04-25,1979,4,25,4.7775717
1979-04-26,1979,4,26,3.1977468
1979-04-27,1979,4,27,3.4000949
1979-04-28,1979,4,28,-0.42685537
1979-04-29,1979,4,29,-3.6420321
1979-04-30,1979,4,30,-0.56443135
1979-05-01,1979,5,1,3.0594492
1979-05-02,1979,5,2,1.2601779
1979-05-03,1979,5,3,-2.0921697
1979-05-04,1979,5,4,-1.2648969
1979-05-05,1979,5,5,1.2122507
1979-05-06,1979,5,6,0.37922461
1979-05-07,1979,5,7,-0.69708768
1979-05-08,1979,5,8,-0.44797925
1979-05-09,1979,5,9,0.7848254
1979-05-10,1979,5,10,1.7701212
1979-05-11,1979,5,11,-0.713927
1979-05-12,1979,5,12,-1.3790749
1979-05-13,1979,5,13,-1.4701682
1979-05-14,1979,5,14,-0.26351473
1979-05-15,1979,5,15,1.5605984
1979-05-16,1979,5,16,1.7472123
1979-05-17,1979,5,17,-0.16474164
1979-05-18,1979,5,18,-1.0575089
1979-05-19,1979,5,19,1.1700944
1979-05-20,1979,5,20,2.2805233
1979-05-21,1979,5,21,0.8099092
1979-05-22,1979,5,22,0.24725203
1979-05-23,1979,5,23,2.171372
1979-05-24,1979,5,24,3.2616163
1979-05-25,1979,5,25,-0.21884396
1979-05-26,1979,5,26,-2.0107634
1979-05-27,1979,5,27,1.2467608
1979-05-28,1979,5,28,-1.8476148
1979-05-29,1979,5,29,-4.8603087
1979-05-30,1979,5,30,-1.3826354
1979-05-31,1979,5,31,2.0503013
1979-06-01,1979,6,1,1.879804
1979-06-02,1979,6,2,-0.31632251
1979-06-03,1979,6,3,-2.0241815
1979-06-04,1979,6,4,-5.0392878
1979-06-05,1979,6,5,-4.3347673
1979-06-06,1979,6,6,-5.9327288
1979-06-07,1979,6,7,-4.1501054
1979-06-08,1979,6,8,-2.1329281
1979-06-09,1979,6,9,-1.7607324
1979-06-10,1979,6,10,-4.46089
1979-06-11,1979,6,11,-5.586609
1979-06-12,1979,6,12,-3.0713465
1979-06-13,1979,6,13,-2.4884537
1979-06-14,1979,6,14,-1.4072567
1979-06-15,1979,6,15,-2.1054641
1979-06-16,1979,6,16,-0.6150123
1979-06-17,1979,6,17,-0.12251764
1979-06-18,1979,6,18,-0.21975291
1979-06-19,1979,6,19,-1.0464783
1979-06-20,1979,6,20,-1.1920763
1979-06-21,1979,6,21,-0.57674925
1979-06-22,1979,6,22,-1.8920886
1979-06-23,1979,6,23,-4.8887869
1979-06-24,1979,6,24,-4.0452466
1979-06-25,1979,6,25,-0.74214627
1979-06-26,1979,6,26,-0.029655614
1979-06-27,1979,6,27,0.11039417
1979-06-28,1979,6,28,-0.1571645
1979-06-29,1979,6,29,-1.3953137
1979-06-30,1979,6,30,-3.7775835
1979-07-01,1979,7,1,-3.2240687
1979-07-02,1979,7,2,-2.7367014
1979-07-03,1979,7,3,-0.66780325
1979-07-04,1979,7,4,-1.579448
1979-07-05,1979,7,5,0.66686935
1979-07-06,1979,7,6,-0.32221315
1979-07-07,1979,7,7,-1.0022938
1979-07-08,1979,7,8,0.64477363
1979-07-09,1979,7,9,1.940298
1979-07-10,1979,7,10,1.3326222
1979-07-11,1979,7,11,0.99185555
1979-07-12,1979,7,12,1.1037414
1979-07-13,1979,7,13,-1.9557777
1979-07-14,1979,7,14,-3.2588078
1979-07-15,1979,7,15,-2.6274915
1979-07-16,1979,7,16,-1.5913645
1979-07-17,1979,7,17,-2.5249578
1979-07-18,1979,7,18,-6.0293284
1979-07-19,1979,7,19,-3.2482153
1979-07-20,1979,7,20,0.022519384
1979-07-21,1979,7,21,-2.0525687
1979-07-22,1979,7,22,-2.4508705
1979-07-23,1979,7,23,-1.8174082
1979-07-24,1979,7,24,-4.7774185
1979-07-25,1979,7,25,-4.3095929
1979-07-26,1979,7,26,-1.9608268
1979-07-27,1979,7,27,-0.79344407
1979-07-28,1979,7,28,0.37142096
1979-07-29,1979,7,29,-0.54404086
1979-07-30,1979,7,30,-0.074600438
1979-07-31,1979,7,31,-3.7389046
1979-08-01,1979,8,1,-5.1596032
1979-08-02,1979,8,2,-8.3627984
1979-08-03,1979,8,3,-5.9636742
1979-08-04,1979,8,4,-3.8047965
1979-08-05,1979,8,5,-3.4032935
1979-08-06,1979,8,6,-2.247538
1979-08-07,1979,8,7,-2.115845
1979-08-08,1979,8,8,-0.55561014
1979-08-09,1979,8,9,1.2091872
1979-08-10,1979,8,10,0.38724824
1979-08-11,1979,8,11,0.2161048
1979-08-12,1979,8,12,-0.67998502
1979-08-13,1979,8,13,-1.8669111
1979-08-14,1979,8,14,-1.204049
1979-08-15,1979,8,15,-1.1743082
1979-08-16,1979,8,16,-4.8857525
1979-08-17,1979,8,17,-3.7955145
1979-08-18,1979,8,18,1.5666731
1979-08-19,1979,8,19,2.5557914
1979-08-20,1979,8,20,0.92906879
1979-08-21,1979,8,21,0.45896244
1979-08-22,1979,8,22,1.0115632
1979-08-23,1979,8,23,1.8413328
1979-08-24,1979,8,24,1.1274344
1979-08-25,1979,8,25,-4.1086051
1979-08-26,1979,8,26,-2.918006
1979-08-27,1979,8,27,-3.6393816
1979-08-28,1979,8,28,-4.7599599
1979-08-29,1979,8,29,-0.027117655
1979-08-30,1979,8,30,1.1145714
1979-08-31,1979,8,31,-2.8438342
1979-09-01,1979,9,1,-7.1738541
1979-09-02,1979,9,2,-7.4917329
1979-09-03,1979,9,3,-4.9734177
1979-09-04,1979,9,4,-1.9539856
1979-09-05,1979,9,5,0.27586106
1979-09-06,1979,9,6,0.70484804
1979-09-07,1979,9,7,-0.1321617
1979-09-08,1979,9,8,-3.3445024
1979-09-09,1979,9,9,-2.8566724
1979-09-10,1979,9,10,0.46882618
1979-09-11,1979,9,11,-3.0544183
1979-09-12,1979,9,12,-5.5459501
1979-09-13,1979,9,13,-8.1410379
1979-09-14,1979,9,14,-5.6401774
1979-09-15,1979,9,15,-8.3668174
1979-09-16,1979,9,16,-7.5010609
1979-09-17,1979,9,17,-7.6036243
1979-09-18,1979,9,18,-4.8867306
1979-09-19,1979,9,19,-1.9358526
1979-09-20,1979,9,20,-0.32133661
1979-09-21,1979,9,21,-1.4628044
1979-09-22,1979,9,22,1.0937514
1979-09-23,1979,9,23,1.981895
1979-09-24,1979,9,24,-0.51220703
1979-09-25,1979,9,25,-1.1675597
1979-09-26,1979,9,26,-1.1507561
1979-09-27,1979,9,27,-3.7508813
1979-09-28,1979,9,28,-7.7948197
1979-09-29,1979,9,29,-8.2929311
1979-09-30,1979,9,30,-7.6498167
1979-10-01,1979,10,1,-5.9539957
1979-10-02,1979,10,2,-4.0999732
1979-10-03,1979,10,3,-4.0860283
1979-10-04,1979,10,4,-3.2919014
1979-10-05,1979,10,5,-3.7341463
1979-10-06,1979,10,6,-2.5292715
1979-10-07,1979,10,7,0.12031128
1979-10-08,1979,10,8,3.5650128
1979-10-09,1979,10,9,2.5539592
1979-10-10,1979,10,10,1.8289971
1979-10-11,1979,10,11,1.4047452
1979-10-12,1979,10,12,1.8565051
1979-10-13,1979,10,13,0.15148093
1979-10-14,1979,10,14,1.1561131
1979-10-15,1979,10,15,3.0331539
1979-10-16,1979,10,16,4.0151311
1979-10-17,1979,10,17,4.029671
1979-10-18,1979,10,18,4.3796313
1979-10-19,1979,10,19,3.9769612
1979-10-20,1979,10,20,3.276164
1979-10-21,1979,10,21,0.56773145
1979-10-22,1979,10,22,0.37652707
1979-10-23,1979,10,23,1.9746846
1979-10-24,1979,10,24,1.3901132
1979-10-25,1979,10,25,1.1237674
1979-10-26,1979,10,26,2.3944193
1979-10-27,1979,10,27,2.1903667
1979-10-28,1979,10,28,1.9942907
1979-10-29,1979,10,29,-0.91314452
1979-10-30,1979,10,30,-1.6857958
1979-10-31,1979,10,31,0.82713674
1979-11-01,1979,11,1,1.7639356
1979-11-02,1979,11,2,2.7642524
1979-11-03,1979,11,3,4.2330768
1979-11-04,1979,11,4,3.9565468
1979-11-05,1979,11,5,4.7267652
1979-11-06,1979,11,6,2.8929505
1979-11-07,1979,11,7,4.4368434
1979-11-08,1979,11,8,2.4541536
1979-11-09,1979,11,9,2.1139346
1979-11-10,1979,11,10,6.6338006
1979-11-11,1979,11,11,6.4955123
1979-11-12,1979,11,12,3.9680313
1979-11-13,1979,11,13,0.64703485
1979-11-14,1979,11,14,3.1121156
1979-11-15,1979,11,15,5.5197755
1979-11-16,1979,11,16,6.0675841
1979-11-17,1979,11,17,2.2911299
1979-11-18,1979,11,18,2.2739148
1979-11-19,1979,11,19,4.5322265
1979-11-20,1979,11,20,4.0403685
1979-11-21,1979,11,21,3.7190892
1979-11-22,1979,11,22,2.3989091
1979-11-23,1979,11,23,2.7375044
1979-11-24,1979,11,24,3.4060834
1979-11-25,1979,11,25,4.7863107
1979-11-26,1979,11,26,6.9028793
1979-11-27,1979,11,27,7.8650014
1979-11-28,1979,11,28,6.4959417
1979-11-29,1979,11,29,5.7508617
1979-11-30,1979,11,30,3.4554523
1979-12-01,1979,12,1,5.4688937
1979-12-02,1979,12,2,5.7644449
1979-12-03,1979,12,3,5.4513781
1979-12-04,1979,12,4,5.8746317
1979-12-05,1979,12,5,4.7741911
1979-12-06,1979,12,6,4.8813124
1979-12-07,1979,12,7,6.307412
1979-12-08,1979,12,8,7.7399185
1979-12-09,1979,12,9,8.366391
1979-12-10,1979,12,10,8.1163026
1979-12-11,1979,12,11,8.0656034
1979-12-12,1979,12,12,8.0234915
1979-12-13,1979,12,13,7.4178067
1979-12-14,1979,12,14,5.3169255
1979-12-15,1979,12,15,6.9681351
1979-12-16,1979,12,16,7.0110052
1979-12-17,1979,12,17,7.0049425
1979-12-18,1979,12,18,6.4835555
1979-12-19,1979,12,19,5.869458
1979-12-20,1979,12,20,4.5730283
1979-12-21,1979,12,21,4.4153983
1979-12-22,1979,12,22,5.748889
1979-12-23,1979,12,23,6.5625379
1979-12-24,1979,12,24,7.4546407
1979-12-25,1979,12,25,8.5253831
1979-12-26,1979,12,26,7.8706855
1979-12-27,1979,12,27,6.7780288
1979-12-28,1979,12,28,7.9873354
1979-12-29,1979,12,29,7.1615768
1979-12-30,1979,12,30,8.1990006
1979-12-31,1979,12,31,7.9341654
1980-01-01,1980,1,1,8.6906546
1980-01-02,1980,1,2,7.6473053
1980-01-03,1980,1,3,7.6520079
1980-01-04,1980,1,4,6.5475353
1980-01-05,1980,1,5,5.5327724
1980-01-06,1980,1,6,7.4288689
1980-01-07,1980,1,7,6.4729743
1980-01-08,1980,1,8,7.8752319
1980-01-09,1980,1,9,7.0088947
1980-01-10,1980,1,10,8.6158822
1980-01-11,1980,1,11,7.6410542
1980-01-12,1980,1,12,7.6718181
1980-01-13,1980,1,13,9.4255671
1980-01-14,1980,1,14,9.0172725
1980-01-15,1980,1,15,7.3142667
1980-01-16,1980,1,16,8.2478514
1980-01-17,1980,1,17,8.0124348
1980-01-18,1980,1,18,8.5735988
1980-01-19,1980,1,19,9.6841706
1980-01-20,1980,1,20,11.175678
1980-01-21,1980,1,21,11.042841
1980-01-22,1980,1,22,10.120739
1980-01-23,1980,1,23,9.2176034
1980-01-24,1980,1,24,8.6323238
1980-01-25,1980,1,25,9.4084815
1980-01-26,1980,1,26,8.7190328
1980-01-27,1980,1,27,8.9301242
1980-01-28,1980,1,28,9.4404848
1980-01-29,1980,1,29,8.8156149
1980-01-30,1980,1,30,8.0640252
1980-01-31,1980,1,31,7.8301802
1980-02-01,1980,2,1,7.8269126
1980-02-02,1980,2,2,6.0912728
1980-02-03,1980,2,3,6.1579504
1980-02-04,1980,2,4,5.9720669
1980-02-05,1980,2,5,5.7980022
1980-02-06,1980,2,6,6.2712266
1980-02-07,1980,2,7,6.4777253
1980-02-08,1980,2,8,7.5027702
1980-02-09,1980,2,9,4.9371073
1980-02-10,1980,2,10,0.9748622
1980-02-11,1980,2,11,6.1041411
1980-02-12,1980,2,12,8.7080476
1980-02-13,1980,2,13,10.111085
1980-02-14,1980,2,14,10.066321
1980-02-15,1980,2,15,8.5786902
1980-02-16,1980,2,16,11.663744
1980-02-17,1980,2,17,11.180627
1980-02-18,1980,2,18,9.3198262
1980-02-19,1980,2,19,8.6504088
1980-02-20,1980,2,20,8.5917113
1980-02-21,1980,2,21,8.9429201
1980-02-22,1980,2,22,7.0400589
1980-02-23,1980,2,23,6.7277591
1980-02-24,1980,2,24,5.6819362
1980-02-25,1980,2,25,7.5420288
1980-02-26,1980,2,26,7.394612
1980-02-27,1980,2,27,7.2757361
1980-02-28,1980,2,28,7.7203118
1980-02-29,1980,2,29,5.9084193
1980-03-01,1980,3,1,6.0603124
1980-03-02,1980,3,2,7.5557049
1980-03-03,1980,3,3,8.634411
1980-03-04,1980,3,4,8.0532944
1980-03-05,1980,3,5,6.2440461
1980-03-06,1980,3,6,6.8206361
1980-03-07,1980,3,7,8.1605113
1980-03-08,1980,3,8,9.2588719
1980-03-09,1980,3,9,10.134694
1980-03-10,1980,3,10,10.305442
1980-03-11,1980,3,11,9.5983061
1980-03-12,1980,3,12,9.3335344
1980-03-13,1980,3,13,9.8303442
1980-03-14,1980,3,14,8.7995226
1980-03-15,1980,3,15,9.2568611
1980-03-16,1980,3,16,10.036548
1980-03-17,1980,3,17,11.374977
1980-03-18,1980,3,18,11.16796
1980-03-19,1980,3,19,11.568619
1980-03-20,1980,3,20,11.08908
1980-03-21,1980,3,21,10.404793
1980-03-22,1980,3,22,9.0452162
1980-03-23,1980,3,23,8.0737024
1980-03-24,1980,3,24,7.2353223
1980-03-25,1980,3,25,6.3027444
1980-03-26,1980,3,26,8.3179007
1980-03-27,1980,3,27,10.279275
1980-03-28,1980,3,28,9.2316087
1980-03-29,1980,3,29,9.6417032
1980-03-30,1980,3,30,8.1347203
1980-03-31,1980,3,31,7.8465136
1980-04-01,1980,4,1,6.9700223
1980-04-02,1980,4,2,6.2579347
1980-04-03,1980,4,3,5.7521702
1980-04-04,1980,4,4,5.5691817
1980-04-05,1980,4,5,5.7464411
1980-04-06,1980,4,6,5.613635
1980-04-07,1980,4,7,4.8198236
1980-04-08,1980,4,8,3.4755185
1980-04-09,1980,4,9,3.0351297
1980-04-10,1980,4,10,2.1889415
1980-04-11,1980,4,11,0.30712586
1980-04-12,1980,4,12,-1.3626359
1980-04-13,1980,4,13,-5.1757601
1980-04-14,1980,4,14,-6.6413196
1980-04-15,1980,4,15,-3.0293314
1980-04-16,1980,4,16,0.70130699
1980-04-17,1980,4,17,2.2053773
1980-04-18,1980,4,18,1.9554383
1980-04-19,1980,4,19,3.7219053
1980-04-20,1980,4,20,5.3544608
1980-04-21,1980,4,21,4.912071
1980-04-22,1980,4,22,2.7015784
1980-04-23,1980,4,23,1.7739152
1980-04-24,1980,4,24,3.4833643
1980-04-25,1980,4,25,1.5519525
1980-04-26,1980,4,26,2.472088
1980-04-27,1980,4,27,2.2610652
1980-04-28,1980,4,28,2.3661269
1980-04-29,1980,4,29,0.69281873
1980-04-30,1980,4,30,-1.7068073
1980-05-01,1980,5,1,0.093694714
1980-05-02,1980,5,2,0.3448324
1980-05-03,1980,5,3,1.0154602
1980-05-04,1980,5,4,0.10094296
1980-05-05,1980,5,5,-1.1118631
1980-05-06,1980,5,6,0.072102619
1980-05-07,1980,5,7,-0.38444765
1980-05-08,1980,5,8,-0.077464332
1980-05-09,1980,5,9,-1.3554381
1980-05-10,1980,5,10,0.49566883
1980-05-11,1980,5,11,2.4361654
1980-05-12,1980,5,12,1.858573
1980-05-13,1980,5,13,1.2183
1980-05-14,1980,5,14,0.93088875
1980-05-15,1980,5,15,0.27402604
1980-05-16,1980,5,16,-0.14850588
1980-05-17,1980,5,17,1.2793311
1980-05-18,1980,5,18,0.63543
1980-05-19,1980,5,19,0.14435164
1980-05-20,1980,5,20,0.53460262
1980-05-21,1980,5,21,1.5276457
1980-05-22,1980,5,22,3.2511054
1980-05-23,1980,5,23,0.025682384
1980-05-24,1980,5,24,-1.7084188
1980-05-25,1980,5,25,1.0979027
1980-05-26,1980,5,26,0.98825208
1980-05-27,1980,5,27,-0.67890645
1980-05-28,1980,5,28,-0.47844448
1980-05-29,1980,5,29,1.7789128
1980-05-30,1980,5,30,1.8516234
1980-05-31,1980,5,31,1.9285597
1980-06-01,1980,6,1,2.2707287
1980-06-02,1980,6,2,1.5157745
1980-06-03,1980,6,3,1.6855792
1980-06-04,1980,6,4,2.0106451
1980-06-05,1980,6,5,1.0800692
1980-06-06,1980,6,6,-0.12937087
1980-06-07,1980,6,7,-0.16476445
1980-06-08,1980,6,8,-3.4599155
1980-06-09,1980,6,9,-4.1200399
1980-06-10,1980,6,10,-3.3568365
1980-06-11,1980,6,11,-4.1289747
1980-06-12,1980,6,12,-5.2730812
1980-06-13,1980,6,13,-4.6710389
1980-06-14,1980,6,14,-1.8990088
1980-06-15,1980,6,15,-0.096750996
1980-06-16,1980,6,16,0.33069525
1980-06-17,1980,6,17,0.88978259
1980-06-18,1980,6,18,0.64007706
1980-06-19,1980,6,19,1.4337872
1980-06-20,1980,6,20,2.6388631
1980-06-21,1980,6,21,1.6693995
1980-06-22,1980,6,22,1.2772065
1980-06-23,1980,6,23,-1.4046055
1980-06-24,1980,6,24,-6.8311179
1980-06-25,1980,6,25,-9.2671751
1980-06-26,1980,6,26,-6.6184333
1980-06-27,1980,6,27,-0.28152854
1980-06-28,1980,6,28,0.17309378
1980-06-29,1980,6,29,-2.5709754
1980-06-30,1980,6,30,-7.8580288
1980-07-01,1980,7,1,-6.6710889
1980-07-02,1980,7,2,-3.0606887
1980-07-03,1980,7,3,-2.4693351
1980-07-04,1980,7,4,-2.3006728
1980-07-05,1980,7,5,-2.5740371
1980-07-06,1980,7,6,-4.2503297
1980-07-07,1980,7,7,-7.0195647
1980-07-08,1980,7,8,-6.9262775
1980-07-09,1980,7,9,-6.208939
1980-07-10,1980,7,10,-4.3733857
1980-07-11,1980,7,11,-4.8314391
1980-07-12,1980,7,12,-4.4356159
1980-07-13,1980,7,13,-3.4812411
1980-07-14,1980,7,14,-2.2564027
1980-07-15,1980,7,15,0.16972038
1980-07-16,1980,7,16,-1.1891648
1980-07-17,1980,7,17,-1.749984
1980-07-18,1980,7,18,-2.0327079
1980-07-19,1980,7,19,-4.0928648
1980-07-20,1980,7,20,-5.1082212
1980-07-21,1980,7,21,-2.4367952
1980-07-22,1980,7,22,-0.65718833
1980-07-23,1980,7,23,-1.3641871
1980-07-24,1980,7,24,-3.6166434
1980-07-25,1980,7,25,-5.8129356
1980-07-26,1980,7,26,-6.3677103
1980-07-27,1980,7,27,-4.3081552
1980-07-28,1980,7,28,-4.6365656
1980-07-29,1980,7,29,-6.8872712
1980-07-30,1980,7,30,-8.0836688
1980-07-31,1980,7,31,-0.80948194
1980-08-01,1980,8,1,-0.33211662
1980-08-02,1980,8,2,-3.4156185
1980-08-03,1980,8,3,-6.547481
1980-08-04,1980,8,4,-6.9328988
1980-08-05,1980,8,5,-3.7814151
1980-08-06,1980,8,6,-3.97946
1980-08-07,1980,8,7,-6.9852437
1980-08-08,1980,8,8,-5.6984587
1980-08-09,1980,8,9,-2.4078756
1980-08-10,1980,8,10,-2.5338205
1980-08-11,1980,8,11,-1.2768105
1980-08-12,1980,8,12,-2.4576391
1980-08-13,1980,8,13,-1.9960485
1980-08-14,1980,8,14,1.9127019
1980-08-15,1980,8,15,1.898202
1980-08-16,1980,8,16,-1.8410582
1980-08-17,1980,8,17,-1.4088369
1980-08-18,1980,8,18,-3.4495552
1980-08-19,1980,8,19,-7.1869599
1980-08-20,1980,8,20,-4.8659781
1980-08-21,1980,8,21,-6.8200821
1980-08-22,1980,8,22,-5.9792081
1980-08-23,1980,8,23,-4.7991403
1980-08-24,1980,8,24,-5.1842838
1980-08-25,1980,8,25,-4.5305408
1980-08-26,1980,8,26,-1.8978202
1980-08-27,1980,8,27,-0.75354958
1980-08-28,1980,8,28,-1.4100375
1980-08-29,1980,8,29,-1.2080029
1980-08-30,1980,8,30,-3.7496995
1980-08-31,1980,8,31,-5.2305437
1980-09-01,1980,9,1,-3.4570483
1980-09-02,1980,9,2,-3.4455234
1980-09-03,1980,9,3,0.011796991
1980-09-04,1980,9,4,1.4152554
1980-09-05,1980,9,5,1.5181987
1980-09-06,1980,9,6,1.4261202
1980-09-07,1980,9,7,-1.262465
1980-09-08,1980,9,8,-5.2657163
1980-09-09,1980,9,9,-0.60614599
1980-09-10,1980,9,10,1.1627535
1980-09-11,1980,9,11,1.2563771
1980-09-12,1980,9,12,1.1960058
1980-09-13,1980,9,13,-0.52940682
1980-09-14,1980,9,14,-4.053728
1980-09-15,1980,9,15,-3.2393594
1980-09-16,1980,9,16,-1.0121885
1980-09-17,1980,9,17,-2.5798049
1980-09-18,1980,9,18,-3.855436
1980-09-19,1980,9,19,-5.4358955
1980-09-20,1980,9,20,-5.8839892
1980-09-21,1980,9,21,-2.5235605
1980-09-22,1980,9,22,-0.77404858
1980-09-23,1980,9,23,0.44212008
1980-09-24,1980,9,24,-0.77672069
1980-09-25,1980,9,25,0.33327631
1980-09-26,1980,9,26,-2.6078253
1980-09-27,1980,9,27,-4.0588362
1980-09-28,1980,9,28,2.2312618
1980-09-29,1980,9,29,-0.37133164
1980-09-30,1980,9,30,-2.8561459
1980-10-01,1980,10,1,-2.9173755
1980-10-02,1980,10,2,-4.6122569
1980-10-03,1980,10,3,-4.2245151
1980-10-04,1980,10,4,-3.6218215
1980-10-05,1980,10,5,0.46469802
1980-10-06,1980,10,6,-0.18544473
1980-10-07,1980,10,7,-4.6552589
1980-10-08,1980,10,8,-1.2240505
1980-10-09,1980,10,9,1.3887519
1980-10-10,1980,10,10,-1.7199529
1980-10-11,1980,10,11,-1.6622283
1980-10-12,1980,10,12,0.28367961
1980-10-13,1980,10,13,2.6715412
1980-10-14,1980,10,14,2.1449073
1980-10-15,1980,10,15,4.1262852
1980-10-16,1980,10,16,2.3460524
1980-10-17,1980,10,17,1.3858555
1980-10-18,1980,10,18,1.4572089
1980-10-19,1980,10,19,1.1074129
1980-10-20,1980,10,20,0.87478792
1980-10-21,1980,10,21,-0.19556801
1980-10-22,1980,10,22,-1.140462
1980-10-23,1980,10,23,-0.27913782
1980-10-24,1980,10,24,-0.0037624316
1980-10-25,1980,10,25,1.3059752
1980-10-26,1980,10,26,0.85787348
1980-10-27,1980,10,27,1.8495593
1980-10-28,1980,10,28,4.3451239
1980-10-29,1980,10,29,2.6766448
1980-10-30,1980,10,30,0.28724893
1980-10-31,1980,10,31,4.5080529
1980-11-01,1980,11,1,4.4100197
1980-11-02,1980,11,2,3.9656331
1980-11-03,1980,11,3,3.5474984
1980-11-04,1980,11,4,5.1000046
1980-11-05,1980,11,5,2.2999551
1980-11-06,1980,11,6,1.9511199
1980-11-07,1980,11,7,0.19405552
1980-11-08,1980,11,8,-1.7596795
1980-11-09,1980,11,9,-2.3808121
1980-11-10,1980,11,10,-1.4075233
1980-11-11,1980,11,11,0.19833509
1980-11-12,1980,11,12,3.9891703
1980-11-13,1980,11,13,5.2062926
1980-11-14,1980,11,14,4.4510792
1980-11-15,1980,11,15,3.2648331
1980-11-16,1980,11,16,4.3595761
1980-11-17,1980,11,17,4.396148
1980-11-18,1980,11,18,2.2043784
1980-11-19,1980,11,19,2.6779715
1980-11-20,1980,11,20,0.7228314
